FECHA,HORA,D_viento,H_relativa,P_atmosferica,Temperatura,V_viento,Pluviometria,Media_D_viento,Media_V_viento,Media_P_atmosferica,Media_Temperatura,Media_H_relativa,Minimo_Temperatura,Maximo_Temperatura,Rango_Temperatura,Media_PM10,Minimo_PM10,Maximo_PM10,Rango_PM10,PM10,PM2_5
140401,1700,145.674,38.279,1004.67,23.715,1.5,0.0,137.615,1.067,964.538,14.062,68.87,7.852,23.715,15.863,32.125,5.0,88.0,83.0,32.0,12.0
140401,1800,165.219,38.085,1004.0,23.58,1.1,0.0,137.615,1.067,964.538,14.062,68.87,7.852,23.715,15.863,32.125,5.0,88.0,83.0,39.0,21.0
140401,1900,195.356,45.301,1004.0,21.813,0.8,0.0,137.615,1.067,964.538,14.062,68.87,7.852,23.715,15.863,32.125,5.0,88.0,83.0,68.0,45.0
140401,2000,263.279,58.633,1004.92,18.747,0.6,0.0,137.615,1.067,964.538,14.062,68.87,7.852,23.715,15.863,32.125,5.0,88.0,83.0,86.0,47.0
140401,2100,219.082,67.173,1005.0,16.653,0.8,0.0,137.615,1.067,964.538,14.062,68.87,7.852,23.715,15.863,32.125,5.0,88.0,83.0,88.0,40.0
140401,2200,253.813,72.519,1005.0,15.385,0.9,0.0,137.615,1.067,964.538,14.062,68.87,7.852,23.715,15.863,32.125,5.0,88.0,83.0,54.0,18.0
140401,2300,237.838,68.872,1004.33,15.756,1.5,0.0,137.615,1.067,964.538,14.062,68.87,7.852,23.715,15.863,32.125,5.0,88.0,83.0,19.0,8.0
140402,1700,271.928,30.302,1004.25,24.37,1.6,0.0,189.376,1.312,1005.243,15.773,67.508,7.852,24.446,16.594,35.333,5.0,88.0,83.0,23.0,11.0
140402,1800,275.122,36.317,1005.0,23.056,2.2,0.0,189.376,1.312,1005.243,15.773,67.508,7.852,24.446,16.594,35.333,5.0,88.0,83.0,36.0,10.0
140402,1900,255.202,50.234,1005.0,19.655,1.9,0.0,189.376,1.312,1005.243,15.773,67.508,7.852,24.446,16.594,35.333,5.0,88.0,83.0,38.0,15.0
140402,2000,241.164,62.211,1005.0,16.877,1.9,0.0,189.376,1.312,1005.243,15.773,67.508,7.852,24.446,16.594,35.333,5.0,88.0,83.0,37.0,15.0
140402,2100,237.011,70.369,1005.5,15.015,1.8,0.0,189.376,1.312,1005.243,15.773,67.508,7.852,24.446,16.594,35.333,5.0,88.0,83.0,25.0,11.0
140402,2200,237.212,73.511,1006.0,13.693,2.1,0.0,189.376,1.312,1005.243,15.773,67.508,7.852,24.446,16.594,35.333,5.0,88.0,83.0,16.0,11.0
140402,2300,240.056,74.268,1006.0,12.9,1.8,0.0,189.376,1.312,1005.243,15.773,67.508,7.852,24.446,16.594,35.333,5.0,88.0,83.0,15.0,11.0
140403,1700,138.431,76.483,1006.83,13.52,1.5,0.0,205.081,1.2,1006.285,11.241,87.054,7.852,24.446,16.594,26.792,5.0,88.0,83.0,30.0,27.0
140403,1800,149.003,77.918,1006.83,13.291,1.7,0.0,205.081,1.2,1006.285,11.241,87.054,7.852,24.446,16.594,26.792,5.0,88.0,83.0,44.0,43.0
140403,1900,123.161,81.58,1007.0,12.484,1.4,0.0,205.081,1.2,1006.285,11.241,87.054,7.852,24.446,16.594,26.792,5.0,88.0,83.0,62.0,44.0
140403,2000,55.688,89.958,1007.0,10.845,0.5,0.0,205.081,1.2,1006.285,11.241,87.054,7.852,24.446,16.594,26.792,5.0,88.0,83.0,83.0,71.0
140403,2100,113.754,89.208,1007.0,11.292,0.4,0.0,205.081,1.2,1006.285,11.241,87.054,7.852,24.446,16.594,26.792,5.0,88.0,83.0,65.0,27.0
140403,2200,183.82,84.05,1007.0,12.155,1.2,0.0,205.081,1.2,1006.285,11.241,87.054,7.852,24.446,16.594,26.792,5.0,88.0,83.0,31.0,27.0
140403,2300,197.706,83.683,1006.42,12.231,1.2,0.0,205.081,1.2,1006.285,11.241,87.054,7.852,24.446,16.594,26.792,5.0,88.0,83.0,44.0,50.0
140404,1700,174.094,56.126,1006.0,18.371,1.2,0.0,182.498,1.129,1006.056,12.622,81.4,7.852,24.446,16.594,60.208,5.0,148.0,143.0,44.0,28.0
140404,1800,164.723,59.381,1006.0,17.785,1.3,0.0,182.498,1.129,1006.056,12.622,81.4,7.852,24.446,16.594,60.208,5.0,148.0,143.0,52.0,51.0
140404,1900,124.545,65.723,1006.0,16.347,1.0,0.0,182.498,1.129,1006.056,12.622,81.4,7.852,24.446,16.594,60.208,5.0,148.0,143.0,90.0,64.0
140404,2000,268.767,77.282,1006.0,13.639,0.4,0.0,182.498,1.129,1006.056,12.622,81.4,7.852,24.446,16.594,60.208,5.0,148.0,143.0,125.0,103.0
140404,2100,301.049,84.1,1006.0,12.005,0.6,0.0,182.498,1.129,1006.056,12.622,81.4,7.852,24.446,16.594,60.208,5.0,148.0,143.0,112.0,85.0
140404,2200,293.693,88.992,1006.0,10.554,0.2,0.0,182.498,1.129,1006.056,12.622,81.4,7.852,24.446,16.594,60.208,5.0,148.0,143.0,148.0,202.0
140404,2300,125.259,92.55,1006.0,9.567,0.4,0.0,182.498,1.129,1006.056,12.622,81.4,7.852,24.446,16.594,60.208,5.0,148.0,143.0,246.0,256.0
140405,1700,146.233,49.772,1003.0,20.361,1.5,0.1,122.385,0.85,1004.6,11.502,82.629,5.22,24.446,19.226,88.958,5.0,280.0,275.0,40.0,20.0
140405,1800,114.851,49.898,1003.0,20.148,1.2,0.1,122.385,0.85,1004.6,11.502,82.629,5.22,24.446,19.226,88.958,5.0,280.0,275.0,53.0,49.0
140405,1900,142.129,57.94,1003.0,18.26,1.1,0.1,122.385,0.85,1004.6,11.502,82.629,5.22,24.446,19.226,88.958,5.0,280.0,275.0,93.0,61.0
140405,2000,310.806,70.693,1003.0,15.131,0.5,0.1,122.385,0.85,1004.6,11.502,82.629,5.22,24.446,19.226,88.958,5.0,280.0,275.0,100.0,87.0
140405,2100,254.183,77.769,1003.0,13.262,0.6,0.1,122.385,0.85,1004.6,11.502,82.629,5.22,24.446,19.226,88.958,5.0,280.0,275.0,133.0,120.0
140405,2200,251.757,84.25,1003.0,12.044,0.6,0.1,122.385,0.85,1004.6,11.502,82.629,5.22,24.446,19.226,88.958,5.0,280.0,275.0,144.0,89.0
140405,2300,232.506,87.167,1002.08,11.534,0.9,0.1,122.385,0.85,1004.6,11.502,82.629,5.22,24.446,19.226,88.958,5.0,280.0,275.0,73.0,27.0
140406,1700,75.052,67.166,1005.0,15.754,2.1,0.0,126.63,1.175,1004.087,10.922,86.582,5.22,24.446,19.226,55.417,5.0,280.0,275.0,35.0,28.0
140406,1800,58.609,69.135,1005.0,15.218,2.4,0.0,126.63,1.175,1004.087,10.922,86.582,5.22,24.446,19.226,55.417,5.0,280.0,275.0,45.0,36.0
140406,1900,66.817,73.932,1006.0,14.033,2.1,0.0,126.63,1.175,1004.087,10.922,86.582,5.22,24.446,19.226,55.417,5.0,280.0,275.0,47.0,39.0
140406,2000,47.348,77.211,1006.67,13.37,2.2,0.0,126.63,1.175,1004.087,10.922,86.582,5.22,24.446,19.226,55.417,5.0,280.0,275.0,51.0,45.0
140406,2100,41.89,81.541,1007.0,12.441,1.7,0.0,126.63,1.175,1004.087,10.922,86.582,5.22,24.446,19.226,55.417,5.0,280.0,275.0,56.0,63.0
140406,2200,358.009,86.083,1007.0,11.422,0.7,0.0,126.63,1.175,1004.087,10.922,86.582,5.22,24.446,19.226,55.417,5.0,280.0,275.0,76.0,61.0
140406,2300,164.1,91.417,1007.0,9.817,0.6,0.0,126.63,1.175,1004.087,10.922,86.582,5.22,24.446,19.226,55.417,5.0,280.0,275.0,86.0,84.0
140407,1700,265.432,55.809,1008.0,17.66,2.6,1.3,173.135,1.425,1008.223,11.809,80.066,5.22,24.446,19.226,49.167,5.0,280.0,275.0,12.0,7.0
140407,1800,287.696,59.484,1008.75,17.25,2.3,1.3,173.135,1.425,1008.223,11.809,80.066,5.22,24.446,19.226,49.167,5.0,280.0,275.0,15.0,14.0
140407,1900,291.372,68.047,1009.33,15.852,2.3,1.3,173.135,1.425,1008.223,11.809,80.066,5.22,24.446,19.226,49.167,5.0,280.0,275.0,15.0,9.0
140407,2000,305.897,76.479,1010.0,14.636,1.2,1.3,173.135,1.425,1008.223,11.809,80.066,5.22,24.446,19.226,49.167,5.0,280.0,275.0,28.0,36.0
140407,2100,59.441,83.367,1010.0,13.738,0.5,1.3,173.135,1.425,1008.223,11.809,80.066,5.22,24.446,19.226,49.167,5.0,280.0,275.0,53.0,27.0
140407,2200,50.128,84.975,1009.83,12.926,1.5,1.3,173.135,1.425,1008.223,11.809,80.066,5.22,24.446,19.226,49.167,5.0,280.0,275.0,38.0,13.0
140407,2300,79.514,88.35,1010.83,11.498,1.1,1.3,173.135,1.425,1008.223,11.809,80.066,5.22,24.446,19.226,49.167,5.0,280.0,275.0,29.0,25.0
140408,1700,179.738,33.631,1006.5,23.422,2.2,0.0,151.625,1.296,1008.983,14.915,68.966,5.22,24.446,19.226,35.833,5.0,280.0,275.0,24.0,34.0
140408,1800,188.964,36.214,1006.0,22.832,2.1,0.0,151.625,1.296,1008.983,14.915,68.966,5.22,24.446,19.226,35.833,5.0,280.0,275.0,41.0,20.0
140408,1900,174.056,43.371,1006.17,20.152,0.8,0.0,151.625,1.296,1008.983,14.915,68.966,5.22,24.446,19.226,35.833,5.0,280.0,275.0,71.0,39.0
140408,2000,244.417,56.437,1006.75,16.997,0.9,0.0,151.625,1.296,1008.983,14.915,68.966,5.22,24.446,19.226,35.833,5.0,280.0,275.0,90.0,61.0
140408,2100,255.956,64.854,1007.0,15.542,0.9,0.0,151.625,1.296,1008.983,14.915,68.966,5.22,24.446,19.226,35.833,5.0,280.0,275.0,90.0,58.0
140408,2200,247.288,69.122,1007.0,14.872,0.8,0.0,151.625,1.296,1008.983,14.915,68.966,5.22,24.446,19.226,35.833,5.0,280.0,275.0,94.0,64.0
140408,2300,211.726,78.705,1007.0,12.939,0.6,0.0,151.625,1.296,1008.983,14.915,68.966,5.22,24.446,19.226,35.833,5.0,280.0,275.0,86.0,63.0
140409,1700,177.537,61.307,1005.83,18.918,1.9,0.0,175.073,1.312,1006.645,14.093,75.349,5.22,24.446,19.226,48.208,5.0,280.0,275.0,35.0,13.0
140409,1800,175.274,63.232,1006.0,18.446,2.1,0.0,175.073,1.312,1006.645,14.093,75.349,5.22,24.446,19.226,48.208,5.0,280.0,275.0,37.0,16.0
140409,1900,183.194,65.378,1006.58,17.132,2.0,0.0,175.073,1.312,1006.645,14.093,75.349,5.22,24.446,19.226,48.208,5.0,280.0,275.0,52.0,24.0
140409,2000,212.225,66.255,1007.33,15.723,1.4,0.0,175.073,1.312,1006.645,14.093,75.349,5.22,24.446,19.226,48.208,5.0,280.0,275.0,55.0,41.0
140409,2100,230.91,69.268,1008.0,14.584,1.1,0.0,175.073,1.312,1006.645,14.093,75.349,5.22,24.446,19.226,48.208,5.0,280.0,275.0,53.0,22.0
140409,2200,207.384,71.096,1008.5,14.362,2.0,0.0,175.073,1.312,1006.645,14.093,75.349,5.22,24.446,19.226,48.208,5.0,280.0,275.0,31.0,17.0
140409,2300,219.109,75.889,1009.0,13.565,1.8,0.0,175.073,1.312,1006.645,14.093,75.349,5.22,24.446,19.226,48.208,5.0,280.0,275.0,21.0,9.0
140410,1700,185.325,31.422,1008.92,20.422,3.9,0.0,195.895,2.55,1009.928,14.105,58.192,5.22,24.446,19.226,44.542,5.0,280.0,275.0,49.0,5.0
140410,1800,185.53,34.345,1009.0,19.24,3.5,0.0,195.895,2.55,1009.928,14.105,58.192,5.22,24.446,19.226,44.542,5.0,280.0,275.0,43.0,9.0
140410,1900,199.43,40.716,1009.0,17.079,2.5,0.0,195.895,2.55,1009.928,14.105,58.192,5.22,24.446,19.226,44.542,5.0,280.0,275.0,45.0,16.0
140410,2000,221.582,47.253,1009.67,15.293,2.0,0.0,195.895,2.55,1009.928,14.105,58.192,5.22,24.446,19.226,44.542,5.0,280.0,275.0,44.0,19.0
140410,2100,223.249,52.955,1010.0,14.411,2.2,0.0,195.895,2.55,1009.928,14.105,58.192,5.22,24.446,19.226,44.542,5.0,280.0,275.0,32.0,11.0
140410,2200,223.1,56.193,1010.17,13.698,1.8,0.0,195.895,2.55,1009.928,14.105,58.192,5.22,24.446,19.226,44.542,5.0,280.0,275.0,28.0,16.0
140410,2300,244.333,62.755,1010.0,12.106,0.8,0.0,195.895,2.55,1009.928,14.105,58.192,5.22,24.446,19.226,44.542,5.0,280.0,275.0,36.0,28.0
140411,1700,53.422,60.802,1011.0,15.758,2.8,0.0,139.502,1.025,1010.75,11.999,71.315,5.22,24.446,19.226,65.75,5.0,280.0,275.0,60.0,28.0
140411,1800,44.611,59.133,1011.0,15.593,2.5,0.0,139.502,1.025,1010.75,11.999,71.315,5.22,24.446,19.226,65.75,5.0,280.0,275.0,53.0,31.0
140411,1900,53.318,59.922,1011.0,15.232,1.7,0.0,139.502,1.025,1010.75,11.999,71.315,5.22,24.446,19.226,65.75,5.0,280.0,275.0,80.0,62.0
140411,2000,59.41,62.468,1011.75,14.841,0.7,0.0,139.502,1.025,1010.75,11.999,71.315,5.22,24.446,19.226,65.75,5.0,280.0,275.0,109.0,78.0
140411,2100,140.852,67.801,1012.08,14.366,0.6,0.0,139.502,1.025,1010.75,11.999,71.315,5.22,24.446,19.226,65.75,5.0,280.0,275.0,167.0,150.0
140411,2200,169.038,79.608,1013.0,13.122,0.6,0.0,139.502,1.025,1010.75,11.999,71.315,5.22,24.446,19.226,65.75,5.0,280.0,275.0,182.0,145.0
140411,2300,85.153,89.117,1013.0,11.935,0.6,0.0,139.502,1.025,1010.75,11.999,71.315,5.22,24.446,19.226,65.75,5.0,280.0,275.0,160.0,133.0
140412,1700,194.464,28.816,1008.0,20.132,3.7,0.0,184.928,2.579,1011.046,13.839,64.093,5.22,24.446,19.226,31.5,4.0,280.0,276.0,19.0,9.0
140412,1800,190.502,31.628,1008.0,18.804,3.4,0.0,184.928,2.579,1011.046,13.839,64.093,5.22,24.446,19.226,31.5,4.0,280.0,276.0,27.0,13.0
140412,1900,204.557,40.727,1008.25,16.612,2.5,0.0,184.928,2.579,1011.046,13.839,64.093,5.22,24.446,19.226,31.5,4.0,280.0,276.0,29.0,14.0
140412,2000,211.665,48.455,1009.0,15.339,2.7,0.0,184.928,2.579,1011.046,13.839,64.093,5.22,24.446,19.226,31.5,4.0,280.0,276.0,22.0,13.0
140412,2100,220.0,55.047,1009.0,14.386,3.0,0.0,184.928,2.579,1011.046,13.839,64.093,5.22,24.446,19.226,31.5,4.0,280.0,276.0,22.0,12.0
140412,2200,216.425,58.412,1009.0,13.408,2.6,0.0,184.928,2.579,1011.046,13.839,64.093,5.22,24.446,19.226,31.5,4.0,280.0,276.0,19.0,15.0
140412,2300,218.008,60.495,1009.0,12.406,2.2,0.0,184.928,2.579,1011.046,13.839,64.093,5.22,24.446,19.226,31.5,4.0,280.0,276.0,17.0,12.0
140413,1700,178.408,30.958,1004.0,21.898,2.4,0.0,181.877,1.979,1006.424,13.578,58.404,5.22,24.446,19.226,16.083,4.0,280.0,276.0,20.0,9.0
140413,1800,201.061,28.942,1004.0,21.278,2.4,0.0,181.877,1.979,1006.424,13.578,58.404,5.22,24.446,19.226,16.083,4.0,280.0,276.0,26.0,9.0
140413,1900,208.508,30.788,1004.0,20.112,2.8,0.0,181.877,1.979,1006.424,13.578,58.404,5.22,24.446,19.226,16.083,4.0,280.0,276.0,30.0,15.0
140413,2000,207.81,33.755,1004.5,18.671,2.5,0.0,181.877,1.979,1006.424,13.578,58.404,5.22,24.446,19.226,16.083,4.0,280.0,276.0,24.0,8.0
140413,2100,217.89,38.702,1005.0,17.378,2.2,0.0,181.877,1.979,1006.424,13.578,58.404,5.22,24.446,19.226,16.083,4.0,280.0,276.0,19.0,8.0
140413,2200,212.682,45.56,1005.0,16.692,2.3,0.0,181.877,1.979,1006.424,13.578,58.404,5.22,24.446,19.226,16.083,4.0,280.0,276.0,18.0,5.0
140413,2300,220.306,51.102,1005.58,15.579,1.7,0.0,181.877,1.979,1006.424,13.578,58.404,5.22,24.446,19.226,16.083,4.0,280.0,276.0,22.0,20.0
140414,1700,182.827,39.053,1001.0,25.898,3.1,0.0,179.227,1.75,1003.677,16.65,62.323,5.22,25.898,20.678,45.0,4.0,280.0,276.0,43.0,12.0
140414,1800,178.63,42.097,1001.0,24.845,2.5,0.0,179.227,1.75,1003.677,16.65,62.323,5.22,25.898,20.678,45.0,4.0,280.0,276.0,65.0,20.0
140414,1900,200.921,51.651,1001.0,21.837,1.1,0.0,179.227,1.75,1003.677,16.65,62.323,5.22,25.898,20.678,45.0,4.0,280.0,276.0,99.0,39.0
140414,2000,233.344,60.3,1001.83,18.827,1.0,0.0,179.227,1.75,1003.677,16.65,62.323,5.22,25.898,20.678,45.0,4.0,280.0,276.0,89.0,41.0
140414,2100,205.879,62.894,1002.0,17.325,0.8,0.0,179.227,1.75,1003.677,16.65,62.323,5.22,25.898,20.678,45.0,4.0,280.0,276.0,88.0,42.0
140414,2200,192.07,61.852,1002.58,17.121,1.2,0.0,179.227,1.75,1003.677,16.65,62.323,5.22,25.898,20.678,45.0,4.0,280.0,276.0,73.0,36.0
140414,2300,136.432,68.496,1003.0,15.471,0.7,0.0,179.227,1.75,1003.677,16.65,62.323,5.22,25.898,20.678,45.0,4.0,280.0,276.0,72.0,55.0
140415,1700,161.005,49.348,1001.0,23.618,2.2,0.0,181.213,1.338,1002.253,16.272,73.197,5.22,25.898,20.678,45.792,4.0,280.0,276.0,42.0,11.0
140415,1800,156.317,50.827,1001.0,22.422,2.1,0.0,181.213,1.338,1002.253,16.272,73.197,5.22,25.898,20.678,45.792,4.0,280.0,276.0,43.0,19.0
140415,1900,64.639,56.294,1001.33,20.798,0.7,0.0,181.213,1.338,1002.253,16.272,73.197,5.22,25.898,20.678,45.792,4.0,280.0,276.0,72.0,35.0
140415,2000,255.498,63.931,1002.0,18.804,1.1,0.0,181.213,1.338,1002.253,16.272,73.197,5.22,25.898,20.678,45.792,4.0,280.0,276.0,68.0,12.0
140415,2100,252.817,65.858,1002.25,18.244,1.5,0.0,181.213,1.338,1002.253,16.272,73.197,5.22,25.898,20.678,45.792,4.0,280.0,276.0,28.0,12.0
140415,2200,239.484,69.469,1003.0,17.386,1.5,0.0,181.213,1.338,1002.253,16.272,73.197,5.22,25.898,20.678,45.792,4.0,280.0,276.0,20.0,12.0
140415,2300,234.01,71.423,1003.83,16.638,1.3,0.0,181.213,1.338,1002.253,16.272,73.197,5.22,25.898,20.678,45.792,4.0,280.0,276.0,17.0,10.0
140416,1700,174.83,37.641,1006.0,22.071,3.1,0.0,186.319,1.913,1006.149,16.196,61.682,5.22,25.898,20.678,47.167,4.0,280.0,276.0,43.0,8.0
140416,1800,178.689,39.743,1006.08,21.099,2.7,0.0,186.319,1.913,1006.149,16.196,61.682,5.22,25.898,20.678,47.167,4.0,280.0,276.0,46.0,23.0
140416,1900,185.162,46.716,1007.0,18.968,1.9,0.0,186.319,1.913,1006.149,16.196,61.682,5.22,25.898,20.678,47.167,4.0,280.0,276.0,65.0,27.0
140416,2000,193.495,52.782,1008.0,17.315,2.0,0.0,186.319,1.913,1006.149,16.196,61.682,5.22,25.898,20.678,47.167,4.0,280.0,276.0,53.0,15.0
140416,2100,208.905,57.74,1008.83,16.168,1.6,0.0,186.319,1.913,1006.149,16.196,61.682,5.22,25.898,20.678,47.167,4.0,280.0,276.0,49.0,19.0
140416,2200,225.363,60.165,1009.0,15.088,2.0,0.0,186.319,1.913,1006.149,16.196,61.682,5.22,25.898,20.678,47.167,4.0,280.0,276.0,32.0,13.0
140416,2300,212.886,62.58,1009.0,14.182,2.1,0.0,186.319,1.913,1006.149,16.196,61.682,5.22,25.898,20.678,47.167,4.0,280.0,276.0,33.0,13.0
140417,1700,188.22,25.481,1006.0,20.709,3.3,0.0,191.576,2.087,1007.861,13.367,51.783,5.22,25.898,20.678,60.583,4.0,280.0,276.0,58.0,16.0
140417,1800,186.914,29.222,1006.0,19.438,2.6,0.0,191.576,2.087,1007.861,13.367,51.783,5.22,25.898,20.678,60.583,4.0,280.0,276.0,72.0,27.0
140417,1900,204.686,35.902,1006.0,16.862,1.6,0.0,191.576,2.087,1007.861,13.367,51.783,5.22,25.898,20.678,60.583,4.0,280.0,276.0,83.0,37.0
140417,2000,205.043,42.32,1006.58,14.722,1.1,0.0,191.576,2.087,1007.861,13.367,51.783,5.22,25.898,20.678,60.583,4.0,280.0,276.0,93.0,84.0
140417,2100,292.945,51.946,1007.0,12.075,0.6,0.0,191.576,2.087,1007.861,13.367,51.783,5.22,25.898,20.678,60.583,4.0,280.0,276.0,132.0,83.0
140417,2200,234.593,57.876,1007.0,10.954,1.0,0.0,191.576,2.087,1007.861,13.367,51.783,5.22,25.898,20.678,60.583,4.0,280.0,276.0,85.0,34.0
140417,2300,184.468,60.208,1007.92,10.47,0.9,0.0,191.576,2.087,1007.861,13.367,51.783,5.22,25.898,20.678,60.583,4.0,280.0,276.0,63.0,49.0
140418,1700,144.335,39.888,1006.17,17.966,1.6,0.0,164.327,0.883,1007.188,9.685,67.182,4.081,25.898,21.817,76.625,4.0,297.0,293.0,32.0,19.0
140418,1800,103.508,41.556,1006.0,17.668,1.0,0.0,164.327,0.883,1007.188,9.685,67.182,4.081,25.898,21.817,76.625,4.0,297.0,293.0,57.0,38.0
140418,1900,36.619,52.828,1006.58,14.427,0.7,0.0,164.327,0.883,1007.188,9.685,67.182,4.081,25.898,21.817,76.625,4.0,297.0,293.0,110.0,142.0
140418,2000,51.298,64.969,1007.0,11.425,0.5,0.0,164.327,0.883,1007.188,9.685,67.182,4.081,25.898,21.817,76.625,4.0,297.0,293.0,246.0,255.0
140418,2100,18.087,71.671,1007.0,10.033,0.6,0.0,164.327,0.883,1007.188,9.685,67.182,4.081,25.898,21.817,76.625,4.0,297.0,293.0,297.0,249.0
140418,2200,26.442,76.087,1007.0,9.042,0.8,0.0,164.327,0.883,1007.188,9.685,67.182,4.081,25.898,21.817,76.625,4.0,297.0,293.0,219.0,126.0
140418,2300,33.435,78.775,1007.67,8.256,1.0,0.0,164.327,0.883,1007.188,9.685,67.182,4.081,25.898,21.817,76.625,4.0,297.0,293.0,151.0,124.0
140419,1700,169.412,28.962,1005.0,22.833,2.5,0.0,108.901,1.338,1006.51,12.003,65.527,3.343,25.898,22.555,60.458,4.0,297.0,293.0,24.0,8.0
140419,1800,167.616,31.838,1005.0,21.719,1.9,0.0,108.901,1.338,1006.51,12.003,65.527,3.343,25.898,22.555,60.458,4.0,297.0,293.0,46.0,28.0
140419,1900,211.144,40.622,1005.17,18.713,1.0,0.0,108.901,1.338,1006.51,12.003,65.527,3.343,25.898,22.555,60.458,4.0,297.0,293.0,91.0,58.0
140419,2000,217.2,48.685,1006.0,15.992,1.1,0.0,108.901,1.338,1006.51,12.003,65.527,3.343,25.898,22.555,60.458,4.0,297.0,293.0,102.0,66.0
140419,2100,183.755,55.955,1006.0,13.982,0.9,0.0,108.901,1.338,1006.51,12.003,65.527,3.343,25.898,22.555,60.458,4.0,297.0,293.0,100.0,68.0
140419,2200,231.272,60.277,1006.0,13.532,0.8,0.0,108.901,1.338,1006.51,12.003,65.527,3.343,25.898,22.555,60.458,4.0,297.0,293.0,95.0,47.0
140419,2300,199.397,65.746,1006.08,12.603,0.9,0.0,108.901,1.338,1006.51,12.003,65.527,3.343,25.898,22.555,60.458,4.0,297.0,293.0,68.0,61.0
140420,1700,177.172,25.902,1005.0,23.402,3.0,0.0,163.797,1.338,1005.871,14.377,59.733,3.343,25.898,22.555,49.5,4.0,297.0,293.0,26.0,11.0
140420,1800,196.365,27.242,1005.0,22.63,2.2,0.0,163.797,1.338,1005.871,14.377,59.733,3.343,25.898,22.555,49.5,4.0,297.0,293.0,44.0,26.0
140420,1900,213.822,30.462,1005.08,19.689,1.5,0.0,163.797,1.338,1005.871,14.377,59.733,3.343,25.898,22.555,49.5,4.0,297.0,293.0,86.0,55.0
140420,2000,246.436,39.134,1006.0,16.408,1.0,0.0,163.797,1.338,1005.871,14.377,59.733,3.343,25.898,22.555,49.5,4.0,297.0,293.0,98.0,40.0
140420,2100,213.765,42.605,1006.0,15.941,1.3,0.0,163.797,1.338,1005.871,14.377,59.733,3.343,25.898,22.555,49.5,4.0,297.0,293.0,44.0,13.0
140420,2200,232.695,40.633,1006.92,17.285,1.9,0.0,163.797,1.338,1005.871,14.377,59.733,3.343,25.898,22.555,49.5,4.0,297.0,293.0,30.0,15.0
140420,2300,232.253,44.587,1007.0,15.81,1.5,0.0,163.797,1.338,1005.871,14.377,59.733,3.343,25.898,22.555,49.5,4.0,297.0,293.0,34.0,12.0
140421,1700,180.147,36.429,1004.08,24.068,3.3,0.0,174.46,1.696,1006.309,15.682,57.003,3.343,25.898,22.555,51.917,4.0,297.0,293.0,49.0,7.0
140421,1800,190.026,39.941,1004.0,22.732,2.9,0.0,174.46,1.696,1006.309,15.682,57.003,3.343,25.898,22.555,51.917,4.0,297.0,293.0,56.0,7.0
140421,1900,205.549,45.881,1004.42,20.457,2.0,0.0,174.46,1.696,1006.309,15.682,57.003,3.343,25.898,22.555,51.917,4.0,297.0,293.0,72.0,34.0
140421,2000,233.595,54.551,1005.0,18.029,1.1,0.0,174.46,1.696,1006.309,15.682,57.003,3.343,25.898,22.555,51.917,4.0,297.0,293.0,71.0,31.0
140421,2100,241.157,60.404,1005.0,16.692,1.4,0.0,174.46,1.696,1006.309,15.682,57.003,3.343,25.898,22.555,51.917,4.0,297.0,293.0,54.0,19.0
140421,2200,224.972,61.398,1005.0,16.65,1.8,0.0,174.46,1.696,1006.309,15.682,57.003,3.343,25.898,22.555,51.917,4.0,297.0,293.0,42.0,11.0
140421,2300,216.608,64.857,1005.0,16.065,1.6,0.0,174.46,1.696,1006.309,15.682,57.003,3.343,25.898,22.555,51.917,4.0,297.0,293.0,36.0,9.0
140422,1700,165.315,43.828,1001.58,22.681,2.0,0.0,157.687,1.637,1003.76,15.519,70.955,3.343,25.898,22.555,73.125,4.0,304.0,300.0,64.0,30.0
140422,1800,150.415,47.423,1001.0,21.849,1.5,0.0,157.687,1.637,1003.76,15.519,70.955,3.343,25.898,22.555,73.125,4.0,304.0,300.0,111.0,57.0
140422,1900,46.046,58.998,1001.5,18.802,0.7,0.0,157.687,1.637,1003.76,15.519,70.955,3.343,25.898,22.555,73.125,4.0,304.0,300.0,168.0,74.0
140422,2000,18.479,68.558,1002.0,16.139,0.5,0.0,157.687,1.637,1003.76,15.519,70.955,3.343,25.898,22.555,73.125,4.0,304.0,300.0,235.0,199.0
140422,2100,132.699,74.752,1002.58,14.665,0.4,0.0,157.687,1.637,1003.76,15.519,70.955,3.343,25.898,22.555,73.125,4.0,304.0,300.0,304.0,185.0
140422,2200,16.151,79.182,1003.0,13.568,0.6,0.0,157.687,1.637,1003.76,15.519,70.955,3.343,25.898,22.555,73.125,4.0,304.0,300.0,215.0,71.0
140422,2300,23.132,83.083,1003.0,12.47,0.6,0.0,157.687,1.637,1003.76,15.519,70.955,3.343,25.898,22.555,73.125,4.0,304.0,300.0,126.0,73.0
140423,1700,105.666,66.776,1004.83,17.731,1.5,0.0,153.921,0.992,1004.749,12.843,85.506,3.343,25.898,22.555,95.208,4.0,304.0,300.0,96.0,49.0
140423,1800,121.427,68.611,1005.0,17.47,1.2,0.0,153.921,0.992,1004.749,12.843,85.506,3.343,25.898,22.555,95.208,4.0,304.0,300.0,105.0,76.0
140423,1900,39.25,78.842,1005.0,15.075,0.5,0.0,153.921,0.992,1004.749,12.843,85.506,3.343,25.898,22.555,95.208,4.0,304.0,300.0,156.0,139.0
